# 2km 경쟁점 폐업 대조 — 판정칸(영업/폐업/모름)은 비어 있다. 채우지 않은 칸은 '모름'이다.
등급,매장명,매장코드,구분,거리m,상호,주소,위도,경도,공식DB,같은자리의심,카카오맵링크,판정,메모
C, 창원상남점,N010,500m밖,1405,인터넷광장,경남 창원시 성산구 창이대로706번길 4-24,35.222639,128.700039,,,"https://map.kakao.com/link/map/%EC%9D%B8%ED%84%B0%EB%84%B7%EA%B4%91%EC%9E%A5,35.2226386315614,128.700039154118",,
C, 창원상남점,N010,500m밖,1422,OXPC 창원사파동점,경남 창원시 성산구 창이대로706번길 4-14,35.222193,128.700214,,,"https://map.kakao.com/link/map/OXPC%20%EC%B0%BD%EC%9B%90%EC%82%AC%ED%8C%8C%EB%8F%99%EC%A0%90,35.22219277187881,128.7002143586632",,
C, 창원상남점,N010,500m밖,1802,아이센스블랙라벨PC존 창원남양점,경남 창원시 성산구 대암로 40-14,35.213630,128.700891,,,"https://map.kakao.com/link/map/%EC%95%84%EC%9D%B4%EC%84%BC%EC%8A%A4%EB%B8%94%EB%9E%99%EB%9D%BC%EB%B2%A8PC%EC%A1%B4%20%EC%B0%BD%EC%9B%90%EB%82%A8%EC%96%91%EC%A0%90,35.213629812062145,128.70089119538022",,
C, 창원상남점,N010,500m밖,1915,OXPC 창원반송점,경남 창원시 성산구 원이대로473번길 9,35.234795,128.669418,,,"https://map.kakao.com/link/map/OXPC%20%EC%B0%BD%EC%9B%90%EB%B0%98%EC%86%A1%EC%A0%90,35.2347951688189,128.669418452669",,
C, 창원상남점,N010,500m밖,1921,저스트PC존,경남 창원시 성산구 가음로15번길 38,35.212632,128.701628,,,"https://map.kakao.com/link/map/%EC%A0%80%EC%8A%A4%ED%8A%B8PC%EC%A1%B4,35.212631720576,128.701628072436",,
-, 창원상남점,N010,500m안,37,고릴라PC방,경남 창원시 성산구 마디미로 14,35.223114,128.684880,고릴라PC방,볼트PC,"https://map.kakao.com/link/map/%EA%B3%A0%EB%A6%B4%EB%9D%BCPC%EB%B0%A9,35.2231137797108,128.684879894591",,
-, 창원상남점,N010,500m안,44,앤유 NUPC 창원상남점,경남 창원시 성산구 마디미로22번길 6,35.222847,128.684123,앤유 NUPC 창원상남점,,"https://map.kakao.com/link/map/%EC%95%A4%EC%9C%A0%20NUPC%20%EC%B0%BD%EC%9B%90%EC%83%81%EB%82%A8%EC%A0%90,35.2228467369413,128.68412316489",,
-, 창원상남점,N010,500m안,60,볼트PC,경남 창원시 성산구 마디미로 10,35.223286,128.685028,볼트PC,고릴라PC방,"https://map.kakao.com/link/map/%EB%B3%BC%ED%8A%B8PC,35.2232856470609,128.685028418808",,
-, 창원상남점,N010,500m안,104,메타pc 창원상남점,경남 창원시 성산구 마디미로21번길 7,35.222155,128.685374,메타pc 창원상남점,,"https://map.kakao.com/link/map/%EB%A9%94%ED%83%80pc%20%EC%B0%BD%EC%9B%90%EC%83%81%EB%82%A8%EC%A0%90,35.2221552121744,128.685374057141",,
-, 창원상남점,N010,500m안,119,토브pc,경남 창원시 성산구 마디미로27번길 4,35.221803,128.684354,토브pc,,"https://map.kakao.com/link/map/%ED%86%A0%EB%B8%8Cpc,35.2218026141351,128.684354184312",,
-, 창원상남점,N010,500m안,120,앤유pc방 상남2호점,경남 창원시 성산구 마디미로10번길 10,35.223948,128.684662,앤유pc방 상남2호점,,"https://map.kakao.com/link/map/%EC%95%A4%EC%9C%A0pc%EB%B0%A9%20%EC%83%81%EB%82%A82%ED%98%B8%EC%A0%90,35.2239477351143,128.68466210652",,
-, 창원상남점,N010,500m안,126,K1 2호점,경남 창원시 성산구 마디미로21번길 8,35.221833,128.685214,K1 2호점,,"https://map.kakao.com/link/map/K1%202%ED%98%B8%EC%A0%90,35.2218330072232,128.68521363968",,
-, 창원상남점,N010,500m안,160,행복한PC방,경남 창원시 성산구 원이대로 656,35.224238,128.685140,초월PC방,,"https://map.kakao.com/link/map/%ED%96%89%EB%B3%B5%ED%95%9CPC%EB%B0%A9,35.2242384787259,128.685140376171",,
-, 창원상남점,N010,500m안,288,이레PC방 상남점,경남 창원시 성산구 마디미로43번길 2,35.220506,128.683273,이레PC방 상남점,,"https://map.kakao.com/link/map/%EC%9D%B4%EB%A0%88PC%EB%B0%A9%20%EC%83%81%EB%82%A8%EC%A0%90,35.2205063810728,128.683273097535",,
-, 창원상남점,N010,500m안,317,OXPC 창원상남점,경남 창원시 성산구 단정로 13,35.220708,128.682323,OXPC 상남동점,,"https://map.kakao.com/link/map/OXPC%20%EC%B0%BD%EC%9B%90%EC%83%81%EB%82%A8%EC%A0%90,35.220707947532,128.682322898924",,
-, 창원상남점,N010,500m안,482,코크게임,경남 창원시 성산구 중앙대로 111,35.224791,128.679867,,,"https://map.kakao.com/link/map/%EC%BD%94%ED%81%AC%EA%B2%8C%EC%9E%84,35.2247912413468,128.679866860238",,
B,동탄북광장점,20250124421,500m밖,589,디엘스PC 남광장점,경기 화성시 동탄구 동탄중심상가1길 27,37.201150,127.072553,,레드포스PC아레나 동탄남광장점 / 라운드앤,"https://map.kakao.com/link/map/%EB%94%94%EC%97%98%EC%8A%A4PC%20%EB%82%A8%EA%B4%91%EC%9E%A5%EC%A0%90,37.2011504189057,127.072552858891",,
B,동탄북광장점,20250124421,500m밖,594,쉬는시간피씨존,경기 화성시 동탄구 동탄중심상가1길 31,37.201138,127.072267,,레드포스PC아레나 동탄남광장점 / 라운드앤,"https://map.kakao.com/link/map/%EC%89%AC%EB%8A%94%EC%8B%9C%EA%B0%84%ED%94%BC%EC%94%A8%EC%A1%B4,37.2011379790699,127.072266735814",,
B,동탄북광장점,20250124421,500m밖,594,레드포스PC아레나 동탄남광장점,경기 화성시 동탄구 동탄중심상가1길 31,37.201134,127.072276,,디엘스PC 남광장점 / 쉬는시간피씨존 / 라운드앤,"https://map.kakao.com/link/map/%EB%A0%88%EB%93%9C%ED%8F%AC%EC%8A%A4PC%EC%95%84%EB%A0%88%EB%82%98%20%EB%8F%99%ED%83%84%EB%82%A8%EA%B4%91%EC%9E%A5%EC%A0%90,37.2011343693569,127.072275743748",,
C,동탄북광장점,20250124421,500m밖,594,라운드앤,경기 화성시 동탄구 동탄중심상가1길 31,37.201134,127.072276,,디엘스PC 남광장점 / 쉬는시간피씨존 / 레드포스PC아레나 동탄남광장점,"https://map.kakao.com/link/map/%EB%9D%BC%EC%9A%B4%EB%93%9C%EC%95%A4,37.2011343693683,127.072275743748",,
C,동탄북광장점,20250124421,500m밖,607,잇츠PC,경기 화성시 동탄구 동탄중심상가1길 35,37.201131,127.071578,,,"https://map.kakao.com/link/map/%EC%9E%87%EC%B8%A0PC,37.20113118849246,127.07157848560067",,
C,동탄북광장점,20250124421,500m밖,712,동탄 탑플레이스PC방,경기 화성시 동탄구 동탄중심상가1길 8,37.200089,127.072004,,,"https://map.kakao.com/link/map/%EB%8F%99%ED%83%84%20%ED%83%91%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4PC%EB%B0%A9,37.2000893146868,127.072004409837",,
C,동탄북광장점,20250124421,500m밖,722,수피아PC방 동탄점,경기 화성시 동탄구 동탄반석로 124,37.200038,127.071719,,,"https://map.kakao.com/link/map/%EC%88%98%ED%94%BC%EC%95%84PC%EB%B0%A9%20%EB%8F%99%ED%83%84%EC%A0%90,37.200038127635594,127.07171938060304",,
C,동탄북광장점,20250124421,500m밖,885,헤라PC방,경기 화성시 동탄구 동탄지성로 108,37.208526,127.063678,,,"https://map.kakao.com/link/map/%ED%97%A4%EB%9D%BCPC%EB%B0%A9,37.20852611909187,127.0636783431276",,
C,동탄북광장점,20250124421,500m밖,943,욜로PC방 화성반송점,경기 화성시 동탄구 동탄지성로 109,37.208299,127.062927,,,"https://map.kakao.com/link/map/%EC%9A%9C%EB%A1%9CPC%EB%B0%A9%20%ED%99%94%EC%84%B1%EB%B0%98%EC%86%A1%EC%A0%90,37.2082994560034,127.062926758213",,
C,동탄북광장점,20250124421,500m밖,1035,일렉트로VR 화성동탄점,경기 화성시 동탄구 동탄중앙로 376,37.214235,127.079679,,,"https://map.kakao.com/link/map/%EC%9D%BC%EB%A0%89%ED%8A%B8%EB%A1%9CVR%20%ED%99%94%EC%84%B1%EB%8F%99%ED%83%84%EC%A0%90,37.2142345003025,127.07967884295",,
C,동탄북광장점,20250124421,500m밖,1236,피씨(PC)토랑 2호점,경기 화성시 동탄구 동탄지성로 141,37.209425,127.059878,,,"https://map.kakao.com/link/map/%ED%94%BC%EC%94%A8(PC)%ED%86%A0%EB%9E%91%202%ED%98%B8%EC%A0%90,37.20942464616869,127.05987813477924",,
C,동탄북광장점,20250124421,500m밖,1467,아크PC,경기 화성시 동탄구 동탄솔빛로 48,37.193203,127.073326,,,"https://map.kakao.com/link/map/%EC%95%84%ED%81%ACPC,37.19320266292698,127.07332578219247",,
C,동탄북광장점,20250124421,500m밖,1710,아칸pc카페,경기 화성시 동탄구 10용사로 349-3,37.199337,127.056194,,,"https://map.kakao.com/link/map/%EC%95%84%EC%B9%B8pc%EC%B9%B4%ED%8E%98,37.1993373816363,127.05619361223",,
-,동탄북광장점,20250124421,500m안,43,데일리PC카페,경기 화성시 동탄구 동탄중심상가2길 36,37.206789,127.073484,데일리PC방,,"https://map.kakao.com/link/map/%EB%8D%B0%EC%9D%BC%EB%A6%ACPC%EC%B9%B4%ED%8E%98,37.2067886227845,127.073484243889",,
-,동탄북광장점,20250124421,500m안,60,제로백PC 동탄북광장점,경기 화성시 동탄구 동탄중심상가2길 29,37.206149,127.073880,제로100 pc방,,"https://map.kakao.com/link/map/%EC%A0%9C%EB%A1%9C%EB%B0%B1PC%20%EB%8F%99%ED%83%84%EB%B6%81%EA%B4%91%EC%9E%A5%EC%A0%90,37.2061486304909,127.073880150092",,
-,동탄북광장점,20250124421,500m안,73,크라우드PC 북광장점,경기 화성시 동탄구 동탄중심상가2길 11,37.205765,127.073276,크라우드,,"https://map.kakao.com/link/map/%ED%81%AC%EB%9D%BC%EC%9A%B0%EB%93%9CPC%20%EB%B6%81%EA%B4%91%EC%9E%A5%EC%A0%90,37.2057651581137,127.073275977279",,
-,동탄북광장점,20250124421,500m안,87,더플레이 동탄점,경기 화성시 동탄구 동탄중심상가2길 15,37.205663,127.073552,,,"https://map.kakao.com/link/map/%EB%8D%94%ED%94%8C%EB%A0%88%EC%9D%B4%20%EB%8F%99%ED%83%84%EC%A0%90,37.2056631683768,127.073551868522",,
-,동탄북광장점,20250124421,500m안,164,에스알피PC방 동탄북광장점,경기 화성시 동탄구 동탄지성로 2,37.205015,127.073863,에스알피PC방,,"https://map.kakao.com/link/map/%EC%97%90%EC%8A%A4%EC%95%8C%ED%94%BCPC%EB%B0%A9%20%EB%8F%99%ED%83%84%EB%B6%81%EA%B4%91%EC%9E%A5%EC%A0%90,37.2050151190201,127.073863274465",,
B,춘천퇴계점,N002,500m밖,589,게임#더 아지트,강원특별자치도 춘천시 안마산로 217-1,37.849911,127.738676,,,"https://map.kakao.com/link/map/%EA%B2%8C%EC%9E%84%23%EB%8D%94%20%EC%95%84%EC%A7%80%ED%8A%B8,37.8499108557973,127.738676141452",,
B,춘천퇴계점,N002,500m밖,800,레드포스PC아레나 춘천퇴계점,강원특별자치도 춘천시 김유정로 1884,37.854290,127.737102,,,"https://map.kakao.com/link/map/%EB%A0%88%EB%93%9C%ED%8F%AC%EC%8A%A4PC%EC%95%84%EB%A0%88%EB%82%98%20%EC%B6%98%EC%B2%9C%ED%87%B4%EA%B3%84%EC%A0%90,37.8542902491016,127.73710180049",,
B,춘천퇴계점,N002,500m밖,900,웁씨PC방 춘천본점,강원특별자치도 춘천시 퇴계로 183,37.857664,127.739302,,,"https://map.kakao.com/link/map/%EC%9B%81%EC%94%A8PC%EB%B0%A9%20%EC%B6%98%EC%B2%9C%EB%B3%B8%EC%A0%90,37.8576639610448,127.73930234878",,
C,춘천퇴계점,N002,500m밖,904,고스트PC방,강원특별자치도 춘천시 후석로 45,37.858745,127.741830,,샹떼 PC방 석사점 / 라운지PC방,"https://map.kakao.com/link/map/%EA%B3%A0%EC%8A%A4%ED%8A%B8PC%EB%B0%A9,37.8587453982843,127.741830124673",,
C,춘천퇴계점,N002,500m밖,912,샹떼 PC방 석사점,강원특별자치도 춘천시 후석로 47,37.858842,127.741922,,고스트PC방 / 라운지PC방,"https://map.kakao.com/link/map/%EC%83%B9%EB%96%BC%20PC%EB%B0%A9%20%EC%84%9D%EC%82%AC%EC%A0%90,37.8588421200945,127.741922000716",,
C,춘천퇴계점,N002,500m밖,913,라운지PC방,강원특별자치도 춘천시 후석로 47,37.858846,127.741899,,고스트PC방 / 샹떼 PC방 석사점,"https://map.kakao.com/link/map/%EB%9D%BC%EC%9A%B4%EC%A7%80PC%EB%B0%A9,37.8588458667857,127.741899311612",,
C,춘천퇴계점,N002,500m밖,998,장동민의크라우드PC 퇴계점,강원특별자치도 춘천시 퇴계로 175,37.858191,127.738329,,,"https://map.kakao.com/link/map/%EC%9E%A5%EB%8F%99%EB%AF%BC%EC%9D%98%ED%81%AC%EB%9D%BC%EC%9A%B0%EB%93%9CPC%20%ED%87%B4%EA%B3%84%EC%A0%90,37.8581908060483,127.738329237015",,
C,춘천퇴계점,N002,500m밖,1236,라이또PC방 춘천거두점,강원특별자치도 춘천시 동내면 거두택지길 93-16,37.856349,127.757587,,,"https://map.kakao.com/link/map/%EB%9D%BC%EC%9D%B4%EB%98%90PC%EB%B0%A9%20%EC%B6%98%EC%B2%9C%EA%B1%B0%EB%91%90%EC%A0%90,37.8563494969492,127.75758696355",,
C,춘천퇴계점,N002,500m밖,1704,가까운PC방 (퇴계점),강원특별자치도 춘천시 퇴계로93번길 10-8,37.862227,127.731942,,,"https://map.kakao.com/link/map/%EA%B0%80%EA%B9%8C%EC%9A%B4PC%EB%B0%A9%20(%ED%87%B4%EA%B3%84%EC%A0%90),37.8622272206713,127.731942110709",,
C,춘천퇴계점,N002,500m밖,1755,나인9PC,강원특별자치도 춘천시 백령로 4,37.865039,127.735916,,리드pc방,"https://map.kakao.com/link/map/%EB%82%98%EC%9D%B89PC,37.8650385860894,127.735915597685",,
C,춘천퇴계점,N002,500m밖,1756,리드pc방,강원특별자치도 춘천시 백령로 4,37.865056,127.735934,,나인9PC,"https://map.kakao.com/link/map/%EB%A6%AC%EB%93%9Cpc%EB%B0%A9,37.8650564899588,127.735933958598",,
C,춘천퇴계점,N002,500m밖,1789,라이또PC방 춘천퇴계점,강원특별자치도 춘천시 퇴계로93번길 3,37.862384,127.730770,,,"https://map.kakao.com/link/map/%EB%9D%BC%EC%9D%B4%EB%98%90PC%EB%B0%A9%20%EC%B6%98%EC%B2%9C%ED%87%B4%EA%B3%84%EC%A0%90,37.8623840574533,127.730769773263",,
C,춘천퇴계점,N002,500m밖,1859,강원대PC카페,강원특별자치도 춘천시 백령로 29,37.866768,127.737914,,,"https://map.kakao.com/link/map/%EA%B0%95%EC%9B%90%EB%8C%80PC%EC%B9%B4%ED%8E%98,37.86676848199867,127.73791364316038",,
C,춘천퇴계점,N002,500m밖,1873,겜잡이피씨방,강원특별자치도 춘천시 애막골길3번길 28,37.867038,127.752055,,,"https://map.kakao.com/link/map/%EA%B2%9C%EC%9E%A1%EC%9D%B4%ED%94%BC%EC%94%A8%EB%B0%A9,37.867037572353965,127.75205500618371",,
-,춘천퇴계점,N002,500m안,44,자이언트PC방 2호점,강원특별자치도 춘천시 지석로 85,37.851021,127.744719,자이언트 pc방,,"https://map.kakao.com/link/map/%EC%9E%90%EC%9D%B4%EC%96%B8%ED%8A%B8PC%EB%B0%A9%202%ED%98%B8%EC%A0%90,37.8510214814928,127.74471937573",,
-,춘천퇴계점,N002,500m안,50,리얼레이싱존,강원특별자치도 춘천시 퇴계농공로 19,37.851421,127.744897,,,"https://map.kakao.com/link/map/%EB%A6%AC%EC%96%BC%EB%A0%88%EC%9D%B4%EC%8B%B1%EC%A1%B4,37.8514212718127,127.74489723871",,
-,춘천퇴계점,N002,500m안,99,옵티멈존 피씨카페춘천석사점 주식회사,강원특별자치도 춘천시 퇴계농공로 22,37.851218,127.744116,옵티멈존pc카페 춘천석사점,에코스피시방,"https://map.kakao.com/link/map/%EC%98%B5%ED%8B%B0%EB%A9%88%EC%A1%B4%20%ED%94%BC%EC%94%A8%EC%B9%B4%ED%8E%98%EC%B6%98%EC%B2%9C%EC%84%9D%EC%82%AC%EC%A0%90%20%EC%A3%BC%EC%8B%9D%ED%9A%8C%EC%82%AC,37.851218097266,127.744115750597",,
-,춘천퇴계점,N002,500m안,100,에코스피시방,강원특별자치도 춘천시 퇴계농공로 22,37.851109,127.744081,프라임피시,옵티멈존 피씨카페춘천석사점 주식회사,"https://map.kakao.com/link/map/%EC%97%90%EC%BD%94%EC%8A%A4%ED%94%BC%EC%8B%9C%EB%B0%A9,37.8511093066354,127.744080570743",,
B,금촌역점,20250530424,500m밖,815,라이또PC 금촌점,경기 파주시 동산2길 32,37.758190,126.770707,,,"https://map.kakao.com/link/map/%EB%9D%BC%EC%9D%B4%EB%98%90PC%20%EA%B8%88%EC%B4%8C%EC%A0%90,37.75819043825561,126.77070735276605",,
B,금촌역점,20250530424,500m밖,895,스펙PC카페,경기 파주시 한마음1길 40,37.757291,126.771063,,,"https://map.kakao.com/link/map/%EC%8A%A4%ED%8E%99PC%EC%B9%B4%ED%8E%98,37.7572910658602,126.771063051173",,
B,금촌역점,20250530424,500m밖,920,시네마북피씨방,경기 파주시 한마음1길 39-10,37.757313,126.770257,,,"https://map.kakao.com/link/map/%EC%8B%9C%EB%84%A4%EB%A7%88%EB%B6%81%ED%94%BC%EC%94%A8%EB%B0%A9,37.7573129229739,126.770257276221",,
C,금촌역점,20250530424,500m밖,926,레벨업 피씨카페,경기 파주시 한마음1길 38,37.756962,126.771187,,포텐피씨 카페4TEN PC CAFE / 포텐pc카페,"https://map.kakao.com/link/map/%EB%A0%88%EB%B2%A8%EC%97%85%20%ED%94%BC%EC%94%A8%EC%B9%B4%ED%8E%98,37.7569624536223,126.771186621596",,
C,금촌역점,20250530424,500m밖,926,포텐피씨 카페4TEN PC CAFE,경기 파주시 한마음1길 38,37.756962,126.771187,,레벨업 피씨카페 / 포텐pc카페,"https://map.kakao.com/link/map/%ED%8F%AC%ED%85%90%ED%94%BC%EC%94%A8%20%EC%B9%B4%ED%8E%984TEN%20PC%20CAFE,37.756962453625675,126.77118662159415",,
C,금촌역점,20250530424,500m밖,927,포텐pc카페,경기 파주시 한마음1길 38,37.756954,126.771180,,레벨업 피씨카페 / 포텐피씨 카페4TEN PC CAFE,"https://map.kakao.com/link/map/%ED%8F%AC%ED%85%90pc%EC%B9%B4%ED%8E%98,37.756954331767,126.771179837847",,
C,금촌역점,20250530424,500m밖,948,맥스피드PC 금촌본점,경기 파주시 번영로 37,37.757620,126.768854,,,"https://map.kakao.com/link/map/%EB%A7%A5%EC%8A%A4%ED%94%BC%EB%93%9CPC%20%EA%B8%88%EC%B4%8C%EB%B3%B8%EC%A0%90,37.7576201104975,126.768853708368",,
C,금촌역점,20250530424,500m밖,1545,피씨토랑,경기 파주시 금빛로 24-21,37.751985,126.767918,,,"https://map.kakao.com/link/map/%ED%94%BC%EC%94%A8%ED%86%A0%EB%9E%91,37.751985437024224,126.76791807467079",,
C,금촌역점,20250530424,500m밖,1554,아이센스리그PC,경기 파주시 금빛로 24-17,37.751983,126.767632,,,"https://map.kakao.com/link/map/%EC%95%84%EC%9D%B4%EC%84%BC%EC%8A%A4%EB%A6%AC%EA%B7%B8PC,37.7519830717003,126.767632133131",,
C,금촌역점,20250530424,500m밖,1567,점핏(JUMPIT),경기 파주시 금빛로 24-28,37.751655,126.768273,,사이버파크PC방 금릉역점,"https://map.kakao.com/link/map/%EC%A0%90%ED%95%8F(JUMPIT),37.7516545802578,126.7682731385",,
C,금촌역점,20250530424,500m밖,1570,사이버파크PC방 금릉역점,경기 파주시 금빛로 24-28,37.751626,126.768278,,점핏(JUMPIT),"https://map.kakao.com/link/map/%EC%82%AC%EC%9D%B4%EB%B2%84%ED%8C%8C%ED%81%ACPC%EB%B0%A9%20%EA%B8%88%EB%A6%89%EC%97%AD%EC%A0%90,37.751625758458,126.768277767231",,
C,금촌역점,20250530424,500m밖,1570,아이탐스PC존,경기 파주시 금빛로 24-9,37.751954,126.767258,,,"https://map.kakao.com/link/map/%EC%95%84%EC%9D%B4%ED%83%90%EC%8A%A4PC%EC%A1%B4,37.7519544030977,126.767257766002",,
C,금촌역점,20250530424,500m밖,1601,쓰리팝 파주금릉점,경기 파주시 금빛로 24-10,37.751652,126.767276,,,"https://map.kakao.com/link/map/%EC%93%B0%EB%A6%AC%ED%8C%9D%20%ED%8C%8C%EC%A3%BC%EA%B8%88%EB%A6%89%EC%A0%90,37.7516517141044,126.767275734792",,
C,금촌역점,20250530424,500m밖,1606,파워플레이스테이션,경기 파주시 금릉역로 84,37.752115,126.765939,,,"https://map.kakao.com/link/map/%ED%8C%8C%EC%9B%8C%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4%ED%85%8C%EC%9D%B4%EC%85%98,37.7521148657809,126.765938718799",,
C,금촌역점,20250530424,500m밖,1615,클라스PC방,경기 파주시 금빛로 22,37.751627,126.766939,,,"https://map.kakao.com/link/map/%ED%81%B4%EB%9D%BC%EC%8A%A4PC%EB%B0%A9,37.7516267222647,126.76693880345",,
-,금촌역점,20250530424,500m안,108,올레피씨,경기 파주시 새꽃로 206-2,37.765389,126.775580,올레,,"https://map.kakao.com/link/map/%EC%98%AC%EB%A0%88%ED%94%BC%EC%94%A8,37.7653886117025,126.775580053651",,
-,금촌역점,20250530424,500m안,118,VR플레이스 파주금촌점,경기 파주시 아동로 7,37.764215,126.775581,,,"https://map.kakao.com/link/map/VR%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4%20%ED%8C%8C%EC%A3%BC%EA%B8%88%EC%B4%8C%EC%A0%90,37.7642146582501,126.775581331113",,
-,금촌역점,20250530424,500m안,148,불독PC카페,경기 파주시 아동로 10,37.764023,126.775825,불독,,"https://map.kakao.com/link/map/%EB%B6%88%EB%8F%85PC%EC%B9%B4%ED%8E%98,37.76402321627,126.775824778608",,
-,금촌역점,20250530424,500m안,161,아이비스PC방 금촌점,경기 파주시 아동로 15,37.764716,126.776349,,,"https://map.kakao.com/link/map/%EC%95%84%EC%9D%B4%EB%B9%84%EC%8A%A4PC%EB%B0%A9%20%EA%B8%88%EC%B4%8C%EC%A0%90,37.7647161531184,126.776349286555",,
-,금촌역점,20250530424,500m안,174,헤라PC 금촌점,경기 파주시 문화로 103,37.763304,126.774554,3pop,쓰리팝PC,"https://map.kakao.com/link/map/%ED%97%A4%EB%9D%BCPC%20%EA%B8%88%EC%B4%8C%EC%A0%90,37.7633036240203,126.774553602757",,
-,금촌역점,20250530424,500m안,174,쓰리팝PC,경기 파주시 문화로 103,37.763303,126.774479,시즌아이,헤라PC 금촌점,"https://map.kakao.com/link/map/%EC%93%B0%EB%A6%AC%ED%8C%9DPC,37.7633034807126,126.774478700383",,
-,금촌역점,20250530424,500m안,456,금촌게임장,경기 파주시 문화로 74,37.760878,126.775722,,,"https://map.kakao.com/link/map/%EA%B8%88%EC%B4%8C%EA%B2%8C%EC%9E%84%EC%9E%A5,37.7608777545349,126.775721921238",,
B,김포풍무점,N013,500m밖,805,진PC방,경기 김포시 풍무로 45-1,37.600045,126.720559,,,"https://map.kakao.com/link/map/%EC%A7%84PC%EB%B0%A9,37.6000447094232,126.720559168656",,
B,김포풍무점,N013,500m밖,958,플레이문PC,경기 김포시 풍무1로 65-3,37.610769,126.733135,,,"https://map.kakao.com/link/map/%ED%94%8C%EB%A0%88%EC%9D%B4%EB%AC%B8PC,37.6107685355925,126.733134724829",,
B,김포풍무점,N013,500m밖,1424,피씨로그 플레잇 PC방 김포점,경기 김포시 사우중로 45,37.619148,126.718427,,캐치팡 사우점,"https://map.kakao.com/link/map/%ED%94%BC%EC%94%A8%EB%A1%9C%EA%B7%B8%20%ED%94%8C%EB%A0%88%EC%9E%87%20PC%EB%B0%A9%20%EA%B9%80%ED%8F%AC%EC%A0%90,37.6191477654994,126.718427314679",,
C,김포풍무점,N013,500m밖,1430,캐치팡 사우점,경기 김포시 사우중로 45,37.619230,126.718504,,피씨로그 플레잇 PC방 김포점,"https://map.kakao.com/link/map/%EC%BA%90%EC%B9%98%ED%8C%A1%20%EC%82%AC%EC%9A%B0%EC%A0%90,37.6192299381621,126.718504028124",,
C,김포풍무점,N013,500m밖,1440,유에프오게임,인천 검단구 이음5로 80,37.595247,126.716324,,,"https://map.kakao.com/link/map/%EC%9C%A0%EC%97%90%ED%94%84%EC%98%A4%EA%B2%8C%EC%9E%84,37.5952467540818,126.716324070509",,
C,김포풍무점,N013,500m밖,1467,스페이스PC방,경기 김포시 돌문로 49,37.619296,126.717495,,,"https://map.kakao.com/link/map/%EC%8A%A4%ED%8E%98%EC%9D%B4%EC%8A%A4PC%EB%B0%A9,37.6192960005931,126.717494545873",,
C,김포풍무점,N013,500m밖,1537,원탑PC 검단점,인천 검단구 바리미로5번길 16,37.594473,126.715825,,,"https://map.kakao.com/link/map/%EC%9B%90%ED%83%91PC%20%EA%B2%80%EB%8B%A8%EC%A0%90,37.594472506134,126.715825391529",,
C,김포풍무점,N013,500m밖,1605,레벨업PC카페,경기 김포시 사우중로 78,37.621258,126.720850,,안드로메다 사우점,"https://map.kakao.com/link/map/%EB%A0%88%EB%B2%A8%EC%97%85PC%EC%B9%B4%ED%8E%98,37.621258222881,126.720850187243",,
C,김포풍무점,N013,500m밖,1608,레드포스PC아레나 아라역점,인천 검단구 바리미로5번길 8,37.594067,126.715042,,엔터오락실,"https://map.kakao.com/link/map/%EB%A0%88%EB%93%9C%ED%8F%AC%EC%8A%A4PC%EC%95%84%EB%A0%88%EB%82%98%20%EC%95%84%EB%9D%BC%EC%97%AD%EC%A0%90,37.5940669749731,126.715042239632",,
C,김포풍무점,N013,500m밖,1608,엔터오락실,인천 검단구 바리미로5번길 8,37.594067,126.715042,,레드포스PC아레나 아라역점,"https://map.kakao.com/link/map/%EC%97%94%ED%84%B0%EC%98%A4%EB%9D%BD%EC%8B%A4,37.5940669749731,126.715042239632",,
C,김포풍무점,N013,500m밖,1613,안드로메다 사우점,경기 김포시 사우중로 78,37.621339,126.720908,,레벨업PC카페,"https://map.kakao.com/link/map/%EC%95%88%EB%93%9C%EB%A1%9C%EB%A9%94%EB%8B%A4%20%EC%82%AC%EC%9A%B0%EC%A0%90,37.6213385464621,126.720907656045",,
C,김포풍무점,N013,500m밖,1653,아이센스리그PC방 김포사우점,경기 김포시 사우중로 82,37.621737,126.721192,,,"https://map.kakao.com/link/map/%EC%95%84%EC%9D%B4%EC%84%BC%EC%8A%A4%EB%A6%AC%EA%B7%B8PC%EB%B0%A9%20%EA%B9%80%ED%8F%AC%EC%82%AC%EC%9A%B0%EC%A0%90,37.6217365520347,126.72119161718",,
C,김포풍무점,N013,500m밖,1860,픽업갈래,인천 검단구 발산로5번길 12,37.593342,126.711080,,,"https://map.kakao.com/link/map/%ED%94%BD%EC%97%85%EA%B0%88%EB%9E%98,37.5933419565666,126.711079677195",,
C,김포풍무점,N013,500m밖,1900,레드포스PC아레나 인천검단점,인천 검단구 발산로 27,37.592929,126.711039,,,"https://map.kakao.com/link/map/%EB%A0%88%EB%93%9C%ED%8F%AC%EC%8A%A4PC%EC%95%84%EB%A0%88%EB%82%98%20%EC%9D%B8%EC%B2%9C%EA%B2%80%EB%8B%A8%EC%A0%90,37.5929292049887,126.711039377909",,
