# 2km 경쟁점 폐업 대조 — 판정칸(영업/폐업/모름)은 비어 있다. 채우지 않은 칸은 '모름'이다.
등급,매장명,매장코드,구분,거리m,상호,주소,위도,경도,공식DB,같은자리의심,카카오맵링크,판정,메모
C,발산역점,20251121428,500m밖,1192,쓰리팝PC카페,서울 강서구 양천로 452,37.562995,126.850713,,,"https://map.kakao.com/link/map/%EC%93%B0%EB%A6%AC%ED%8C%9DPC%EC%B9%B4%ED%8E%98,37.56299531773257,126.85071272002587",,
C,발산역점,20251121428,500m밖,1279,제로백PC 우장산점,서울 강서구 강서로 257,37.548687,126.836036,,,"https://map.kakao.com/link/map/%EC%A0%9C%EB%A1%9C%EB%B0%B1PC%20%EC%9A%B0%EC%9E%A5%EC%82%B0%EC%A0%90,37.5486869414505,126.836035725789",,
C,발산역점,20251121428,500m밖,1305,레벨업PC방 마곡점,서울 강서구 마곡중앙로 161-11,37.568014,126.826733,,,"https://map.kakao.com/link/map/%EB%A0%88%EB%B2%A8%EC%97%85PC%EB%B0%A9%20%EB%A7%88%EA%B3%A1%EC%A0%90,37.5680144404583,126.826733111896",,
C,발산역점,20251121428,500m밖,1337,그랜드게임존,서울 강서구 화곡로 347,37.554834,126.851291,,이네이처PC방,"https://map.kakao.com/link/map/%EA%B7%B8%EB%9E%9C%EB%93%9C%EA%B2%8C%EC%9E%84%EC%A1%B4,37.5548339223889,126.851291468649",,
C,발산역점,20251121428,500m밖,1345,이네이처PC방,서울 강서구 화곡로 347,37.554798,126.851368,,그랜드게임존,"https://map.kakao.com/link/map/%EC%9D%B4%EB%84%A4%EC%9D%B4%EC%B2%98PC%EB%B0%A9,37.5547979795003,126.85136849722",,
C,발산역점,20251121428,500m밖,1351,레드포스PC아레나 강서마곡점,서울 강서구 마곡중앙로 161-17,37.568106,126.826128,,,"https://map.kakao.com/link/map/%EB%A0%88%EB%93%9C%ED%8F%AC%EC%8A%A4PC%EC%95%84%EB%A0%88%EB%82%98%20%EA%B0%95%EC%84%9C%EB%A7%88%EA%B3%A1%EC%A0%90,37.568106353937466,126.82612845171032",,
C,발산역점,20251121428,500m밖,1358,누리터PC방,서울 강서구 양천로57길 16,37.563377,126.852524,,,"https://map.kakao.com/link/map/%EB%88%84%EB%A6%AC%ED%84%B0PC%EB%B0%A9,37.5633769133814,126.852524054502",,
C,발산역점,20251121428,500m밖,1426,럭키캐치,서울 강서구 화곡로 318-1,37.552288,126.850481,,,"https://map.kakao.com/link/map/%EB%9F%AD%ED%82%A4%EC%BA%90%EC%B9%98,37.5522875814047,126.850480583411",,
C,발산역점,20251121428,500m밖,1437,포포PC방 강서구청점,서울 강서구 공항대로46길 90,37.552385,126.850737,,레벨업PC방 강서구청점,"https://map.kakao.com/link/map/%ED%8F%AC%ED%8F%ACPC%EB%B0%A9%20%EA%B0%95%EC%84%9C%EA%B5%AC%EC%B2%AD%EC%A0%90,37.5523852138938,126.850737281152",,
C,발산역점,20251121428,500m밖,1440,레벨업PC방 강서구청점,서울 강서구 공항대로46길 90,37.552367,126.850758,,포포PC방 강서구청점,"https://map.kakao.com/link/map/%EB%A0%88%EB%B2%A8%EC%97%85PC%EB%B0%A9%20%EA%B0%95%EC%84%9C%EA%B5%AC%EC%B2%AD%EC%A0%90,37.552367219748,126.850757687386",,
C,발산역점,20251121428,500m밖,1483,이스포츠카페PC방,서울 강서구 강서로 237,37.546849,126.835886,,,"https://map.kakao.com/link/map/%EC%9D%B4%EC%8A%A4%ED%8F%AC%EC%B8%A0%EC%B9%B4%ED%8E%98PC%EB%B0%A9,37.5468486976113,126.835885854291",,
C,발산역점,20251121428,500m밖,1492,제로백PC 강서구청점,서울 강서구 화곡로58길 18,37.552799,126.851853,,,"https://map.kakao.com/link/map/%EC%A0%9C%EB%A1%9C%EB%B0%B1PC%20%EA%B0%95%EC%84%9C%EA%B5%AC%EC%B2%AD%EC%A0%90,37.5527992763512,126.851853435919",,
C,발산역점,20251121428,500m밖,1504,마스타M성인PC 강서점,서울 강서구 화곡로58길 22-14,37.552326,126.851622,,,"https://map.kakao.com/link/map/%EB%A7%88%EC%8A%A4%ED%83%80M%EC%84%B1%EC%9D%B8PC%20%EA%B0%95%EC%84%9C%EC%A0%90,37.5523259626368,126.851622377298",,
C,발산역점,20251121428,500m밖,1571,엔젤벳홀덤스튜디오 강서구청점,서울 강서구 화곡로58길 35,37.552868,126.852959,,,"https://map.kakao.com/link/map/%EC%97%94%EC%A0%A4%EB%B2%B3%ED%99%80%EB%8D%A4%EC%8A%A4%ED%8A%9C%EB%94%94%EC%98%A4%20%EA%B0%95%EC%84%9C%EA%B5%AC%EC%B2%AD%EC%A0%90,37.5528682330495,126.852958964084",,
C,발산역점,20251121428,500m밖,1642,레벨업PC방,서울 강서구 공항대로45길 44,37.556809,126.855808,,,"https://map.kakao.com/link/map/%EB%A0%88%EB%B2%A8%EC%97%85PC%EB%B0%A9,37.5568091032267,126.855807765956",,
C,발산역점,20251121428,500m밖,1705,헌터PC방 화곡점,서울 강서구 화곡로21길 78,37.544808,126.836276,,,"https://map.kakao.com/link/map/%ED%97%8C%ED%84%B0PC%EB%B0%A9%20%ED%99%94%EA%B3%A1%EC%A0%90,37.54480757764395,126.83627619474392",,
C,발산역점,20251121428,500m밖,1711,빈이스포츠PC카페,서울 강서구 까치산로 101,37.547385,126.848599,,PC베네 시즌2,"https://map.kakao.com/link/map/%EB%B9%88%EC%9D%B4%EC%8A%A4%ED%8F%AC%EC%B8%A0PC%EC%B9%B4%ED%8E%98,37.5473846579334,126.848599455607",,
C,발산역점,20251121428,500m밖,1713,PC베네 시즌2,서울 강서구 까치산로 101,37.547385,126.848636,,빈이스포츠PC카페,"https://map.kakao.com/link/map/PC%EB%B2%A0%EB%84%A4%20%EC%8B%9C%EC%A6%8C2,37.5473847043572,126.848635667054",,
C,발산역점,20251121428,500m밖,1727,틱톡PC존,서울 강서구 까치산로 106,37.547546,126.849205,,,"https://map.kakao.com/link/map/%ED%8B%B1%ED%86%A1PC%EC%A1%B4,37.5475458098647,126.849204542678",,
C,발산역점,20251121428,500m밖,1731,텐지피시방,서울 강서구 공항대로45길 68-6,37.558297,126.857164,,,"https://map.kakao.com/link/map/%ED%85%90%EC%A7%80%ED%94%BC%EC%8B%9C%EB%B0%A9,37.55829739630307,126.85716416077747",,
C,발산역점,20251121428,500m밖,1737,알디 화곡점,서울 강서구 강서로33가길 68,37.544493,126.836964,,,"https://map.kakao.com/link/map/%EC%95%8C%EB%94%94%20%ED%99%94%EA%B3%A1%EC%A0%90,37.5444931795105,126.836963743345",,
C,발산역점,20251121428,500m밖,1775,피씨태그 화곡점,서울 강서구 강서로 205,37.544135,126.837621,,,"https://map.kakao.com/link/map/%ED%94%BC%EC%94%A8%ED%83%9C%EA%B7%B8%20%ED%99%94%EA%B3%A1%EC%A0%90,37.544135487539194,126.8376208278984",,
C,발산역점,20251121428,500m밖,1923,피에스타PC방 강서화곡점,서울 강서구 강서로 187,37.542834,126.838932,,,"https://map.kakao.com/link/map/%ED%94%BC%EC%97%90%EC%8A%A4%ED%83%80PC%EB%B0%A9%20%EA%B0%95%EC%84%9C%ED%99%94%EA%B3%A1%EC%A0%90,37.5428344389706,126.838931711935",,
-,발산역점,20251121428,500m안,49,블링팝,서울 강서구 마곡중앙8로 90,37.560573,126.837593,,,"https://map.kakao.com/link/map/%EB%B8%94%EB%A7%81%ED%8C%9D,37.560573241902,126.83759308368",,
-,발산역점,20251121428,500m안,77,마곡플스,서울 강서구 강서로 381,37.559556,126.838199,,,"https://map.kakao.com/link/map/%EB%A7%88%EA%B3%A1%ED%94%8C%EC%8A%A4,37.5595559477028,126.838198538253",,
-,발산역점,20251121428,500m안,133,브리즈(마곡점),서울 강서구 공항대로 271,37.558935,126.837797,브리즈PC방,헤라PC,"https://map.kakao.com/link/map/%EB%B8%8C%EB%A6%AC%EC%A6%88(%EB%A7%88%EA%B3%A1%EC%A0%90),37.5589346103692,126.83779696631",,
-,발산역점,20251121428,500m안,145,헤라PC,서울 강서구 공항대로 271,37.558822,126.837794,,브리즈(마곡점),"https://map.kakao.com/link/map/%ED%97%A4%EB%9D%BCPC,37.5588219815108,126.83779381511",,
-,발산역점,20251121428,500m안,277,쓰리팝,서울 강서구 강서로 360,37.557695,126.838394,라이즈 pc방,긱스타PC,"https://map.kakao.com/link/map/%EC%93%B0%EB%A6%AC%ED%8C%9D,37.55769475695761,126.83839383127189",,
-,발산역점,20251121428,500m안,277,긱스타PC,서울 강서구 강서로 360,37.557695,126.838394,라이즈 pc방(3POP),쓰리팝,"https://map.kakao.com/link/map/%EA%B8%B1%EC%8A%A4%ED%83%80PC,37.5576947569639,126.838393831271",,
