매장명,매장코드,개점일,매출기간,거리m,상호,주소,위도,경도,등급,판정,메모
김포구래점,20240705417,2024-07-05,2024-08 ~ 2026-08,1777,버블팝 김포마산점,경기 김포시 김포한강8로 163,37.637024,126.643390,A,폐업,
김포구래점,20240705417,2024-07-05,2024-08 ~ 2026-08,1787,제닉스아레나PC 김포마산점,경기 김포시 김포한강8로 163,37.636934,126.643455,A,영업,
김포구래점,20240705417,2024-07-05,2024-08 ~ 2026-08,45,까사PC클럽,경기 김포시 김포한강9로 79,37.644069,126.625382,-,,
김포구래점,20240705417,2024-07-05,2024-08 ~ 2026-08,95,옵티멈존PC카페 구래역점,경기 김포시 김포한강9로 80,37.644123,126.626053,-,,
김포구래점,20240705417,2024-07-05,2024-08 ~ 2026-08,100,넥스피시,경기 김포시 김포한강9로75번길 24,37.643411,126.624024,-,,
김포구래점,20240705417,2024-07-05,2024-08 ~ 2026-08,138,토이톡 김포구래,경기 김포시 김포한강9로 90,37.644647,126.626148,-,,
김포구래점,20240705417,2024-07-05,2024-08 ~ 2026-08,147,레드포스PC아레나,경기 김포시 김포한강9로75번길 38,37.643607,126.623432,-,,
김포구래점,20240705417,2024-07-05,2024-08 ~ 2026-08,164,브리즈PC카페 김포점,경기 김포시 김포한강9로 95,37.645145,126.625615,-,,
김포구래점,20240705417,2024-07-05,2024-08 ~ 2026-08,168,아이존팝 김포구래점,경기 김포시 김포한강9로 95,37.645168,126.625686,-,,
김포구래점,20240705417,2024-07-05,2024-08 ~ 2026-08,238,엠투피씨,경기 김포시 김포한강9로76번길 63,37.645382,126.626813,-,,
야당점,20251107426,2025-11-07,2025-12 ~ 2026-08,1427,레벨업PC방 운정점,경기 파주시 경의로1240번길 30,37.727677,126.762633,A,영업,
야당점,20251107426,2025-11-07,2025-12 ~ 2026-08,1428,엔조이 운정점,경기 파주시 미래로 375,37.711404,126.745852,A,폐업,
야당점,20251107426,2025-11-07,2025-12 ~ 2026-08,1547,시네마4PC방,경기 파주시 미래로 369-58,37.711768,126.744349,A,영업,
야당점,20251107426,2025-11-07,2025-12 ~ 2026-08,1562,세븐스타PC방 파주운정점,경기 파주시 미래로 369-72,37.711076,126.744392,A,영업,
야당점,20251107426,2025-11-07,2025-12 ~ 2026-08,1729,욜로PC방 일산덕이점,경기 고양시 일산서구 하이파크2로 65,37.699819,126.756290,A,영업,
야당점,20251107426,2025-11-07,2025-12 ~ 2026-08,1864,더브이PC방 탄현점,경기 고양시 일산서구 일현로 127,37.698303,126.765120,A,폐업,
야당점,20251107426,2025-11-07,2025-12 ~ 2026-08,120,어썸PC,경기 파주시 경의로 1090,37.714357,126.760246,-,,
야당점,20251107426,2025-11-07,2025-12 ~ 2026-08,127,오토피씨 OTO PC,경기 파주시 경의로 1100,37.715337,126.760144,-,,
야당점,20251107426,2025-11-07,2025-12 ~ 2026-08,268,레드포스PC아레나 파주야당점,경기 파주시 경의로 1070,37.712871,126.759707,-,,
탕정역점,20240607414,2024-06-07,2024-07 ~ 2026-08,796,유에프오(UFO),충남 아산시 탕정면 매곡한들1길 20-5,36.781782,127.091076,A,폐업,
탕정역점,20240607414,2024-06-07,2024-07 ~ 2026-08,796,플레이pc방,충남 아산시 배방읍 새아산로 20-8,36.783298,127.092733,A,영업,
탕정역점,20240607414,2024-06-07,2024-07 ~ 2026-08,814,놀러와PC,충남 아산시 배방읍 새아산로 20-10,36.783452,127.093092,A,영업,
탕정역점,20240607414,2024-06-07,2024-07 ~ 2026-08,850,제로백PC방 장재점,충남 아산시 배방읍 용연로 156-11,36.782858,127.093088,A,폐업,
탕정역점,20240607414,2024-06-07,2024-07 ~ 2026-08,1126,탑스타PC방 아산선문대점,충남 아산시 탕정면 매곡로71번길 36-3,36.797097,127.082404,A,영업,
탕정역점,20240607414,2024-06-07,2024-07 ~ 2026-08,1339,태림코리아 선문컴퓨터게임장,충남 아산시 탕정면 선문로221번길 70,36.797421,127.077242,A,폐업,
탕정역점,20240607414,2024-06-07,2024-07 ~ 2026-08,73,레벨업PC방 탕정역점,충남 아산시 탕정면 한들물빛5로 11,36.786917,127.084510,-,,
탕정역점,20240607414,2024-06-07,2024-07 ~ 2026-08,90,레드포스PC아레나 아산탕정점,충남 아산시 탕정면 한들물빛6로 26,36.787848,127.085887,-,,
남악점,20250314423,2025-03-14,2025-03 ~ 2026-08,779,OXPC 무안남악점,전남광주통합특별시 무안군 삼향읍 대죽동로16번길 21,34.811210,126.464909,A,영업,
남악점,20250314423,2025-03-14,2025-03 ~ 2026-08,962,크라우드PC 전남남악점,전남광주통합특별시 무안군 삼향읍 남악3로82번가길 34,34.813488,126.463709,A,영업,
남악점,20250314423,2025-03-14,2025-03 ~ 2026-08,1085,인형뽑기왕오락실,전남광주통합특별시 무안군 삼향읍 남악3로82번길 15,34.813140,126.462089,A,폐업,
남악점,20250314423,2025-03-14,2025-03 ~ 2026-08,1085,욜로PC방 무안남악점,전남광주통합특별시 무안군 삼향읍 남악3로82번길 15,34.813153,126.462095,A,영업,
남악점,20250314423,2025-03-14,2025-03 ~ 2026-08,1101,레드포스PC아레나 목포남악점,전남광주통합특별시 무안군 삼향읍 남악3로82번길 14,34.812686,126.461729,A,영업,
남악점,20250314423,2025-03-14,2025-03 ~ 2026-08,1122,어썸pc방 남악점,전남광주통합특별시 무안군 삼향읍 대죽서로15번길 30,34.811777,126.461222,A,영업,
남악점,20250314423,2025-03-14,2025-03 ~ 2026-08,1124,OXPC 전남도청점,전남광주통합특별시 무안군 삼향읍 대죽서로15번길 32,34.812080,126.461269,A,영업,
송도점,20260515431,2026-05-15,2026-05 ~ 2026-08,1219,몰PC,인천 연수구 인천타워대로132번길 30,37.385990,126.643560,A,영업,
송도점,20260515431,2026-05-15,2026-05 ~ 2026-08,1267,잇츠피시 송도점,인천 연수구 테크노파크로111번길 12,37.385407,126.643671,A,영업,
송도점,20260515431,2026-05-15,2026-05 ~ 2026-08,1351,레벨업PC방 인천대입구역점,인천 연수구 하모니로138번길 11,37.384959,126.642802,A,영업,
송도점,20260515431,2026-05-15,2026-05 ~ 2026-08,1394,알고리즘PC카페,인천 연수구 인천타워대로132번길 9,37.385358,126.641348,A,영업,
송도점,20260515431,2026-05-15,2026-05 ~ 2026-08,1404,대장오락실,인천 연수구 하모니로138번길 11,37.384606,126.642390,A,폐업,
송도점,20260515431,2026-05-15,2026-05 ~ 2026-08,1461,잇츠PC,인천 연수구 하모니로 158,37.384092,126.642195,A,폐업,
송도점,20260515431,2026-05-15,2026-05 ~ 2026-08,1479,이츠아일랜드,인천 연수구 송도과학로27번길 55,37.386940,126.664805,A,폐업,
송도점,20260515431,2026-05-15,2026-05 ~ 2026-08,53,텐지PC방,인천 연수구 신송로125번길 13,37.394563,126.651184,-,,
